VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2021-03-01 00:15:00,2021-03-01 00:35:57,2,9.16,1,N,138,246,1,27.5,0.5,0.5,7.48,6.12,0.3,44.9,2.5
2,2021-03-01 00:37:55,2021-03-01 00:44:07,1,2.81,1,N,246,238,1,9.5,0.5,0.5,0,0,0.3,13.3,2.5
1,2021-03-01 00:35:46,2021-03-01 00:52:14,1,6.20,1,N,68,80,1,20,3,0.5,3,0,0.3,26.8,2.5
1,2021-03-01 00:33:37,2021-03-01 00:38:58,1,1.20,1,N,68,170,2,6,3,0.5,0,0,0.3,9.8,2.5
2,2021-03-01 00:37:50,2021-03-01 00:43:14,1,1.10,1,N,186,68,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,2021-03-01 00:04:15,2021-03-01 00:14:51,2,3.61,1,N,162,75,1,12,0.5,0.5,2,0,0.3,17.8,2.5
2,2021-03-01 00:28:05,2021-03-01 00:37:54,2,2.56,1,N,161,211,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,2021-03-01 00:07:32,2021-03-01 00:34:42,2,20.97,1,N,132,25,2,55.5,0.5,0.5,0,0,0.3,56.8,0
2,2021-03-01 00:12:42,2021-03-01 00:28:38,2,7.89,1,N,138,236,1,23.5,0.5,0.5,6.68,6.12,0.3,40.1,2.5
2,2021-03-01 00:40:53,2021-03-01 00:47:16,1,1.66,1,N,137,232,1,7.5,0.5,0.5,2,0,0.3,13.3,2.5
2,2021-03-01 00:07:51,2021-03-01 00:50:56,1,26.32,5,N,132,265,1,125,0,0.5,0,17.87,0.3,143.67,0
2,2021-03-01 00:01:08,2021-03-01 00:34:57,1,20.64,2,N,132,244,1,52,0,0.5,11.78,6.12,0.3,70.7,0
1,2021-03-01 00:04:16,2021-03-01 00:25:23,2,5.20,1,N,186,42,2,19,3,0.5,0,0,0.3,22.8,2.5
2,2021-03-01 00:09:00,2021-03-01 00:27:19,1,8.62,1,N,162,244,1,25.5,0.5,0.5,2.9,0,0.3,32.2,2.5
2,2021-03-01 00:03:31,2021-03-01 00:19:12,4,5.61,1,N,79,75,2,17.5,0.5,0.5,0,0,0.3,21.3,2.5
1,2021-03-01 00:11:19,2021-03-01 00:14:30,1,1.50,1,N,70,138,2,6,0.5,0.5,0,0,0.3,7.3,0
1,2021-03-01 00:18:55,2021-03-01 00:47:38,2,15.90,1,N,138,26,1,44.5,0.5,0.5,13.7,0,0.3,59.5,0
1,2021-03-01 00:22:33,2021-03-01 00:31:59,1,4.00,1,N,132,10,1,13.5,0.5,0.5,0,0,0.3,14.8,0
2,2021-03-01 00:02:50,2021-03-01 00:21:20,1,12.40,1,N,132,157,2,33.5,0.5,0.5,0,0,0.3,34.8,0
2,2021-03-01 00:39:53,2021-03-01 00:50:09,1,4.14,1,N,138,95,2,13.5,0.5,0.5,0,0,0.3,14.8,0
2,2021-03-01 00:41:51,2021-03-01 00:57:05,1,6.89,1,N,132,95,1,21,0.5,0.5,5.58,0,0.3,27.88,0
2,2021-03-01 00:00:32,2021-03-01 00:06:40,1,1.59,1,N,48,170,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,2021-03-01 00:22:32,2021-03-01 00:30:23,1,1.43,1,N,100,137,4,-7.5,-0.5,-0.5,0,0,-0.3,-11.3,-2.5
2,2021-03-01 00:22:32,2021-03-01 00:30:23,1,1.43,1,N,100,137,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,2021-03-01 00:15:54,2021-03-01 00:42:43,2,15.54,1,N,132,71,1,43,0.5,0.5,0,0,0.3,44.3,0
1,2021-03-01 00:50:27,2021-03-01 01:03:24,1,3.70,1,N,167,75,2,13,0.5,0.5,0,0,0.3,14.3,0
2,2021-03-01 00:05:37,2021-03-01 00:09:40,1,.69,1,N,24,151,1,5,0.5,0.5,1,0,0.3,7.3,0
2,2021-03-01 00:01:47,2021-03-01 00:04:47,1,.73,1,N,137,162,2,4.5,0.5,0.5,0,0,0.3,8.3,2.5
2,2021-03-01 00:09:02,2021-03-01 00:19:56,1,3.60,1,N,141,260,2,12,0.5,0.5,0,0,0.3,15.8,2.5
2,2021-03-01 00:23:36,2021-03-01 00:34:38,1,2.29,1,N,137,142,1,10,0.5,0.5,3.45,0,0.3,17.25,2.5
2,2021-03-01 00:40:08,2021-03-01 01:05:37,3,8.42,1,N,230,159,2,-26.5,-0.5,-0.5,0,0,-0.3,-30.3,-2.5
2,2021-03-01 00:40:08,2021-03-01 01:05:37,3,8.42,1,N,230,159,2,26.5,0.5,0.5,0,0,0.3,30.3,2.5
2,2021-03-01 00:17:57,2021-03-01 00:23:51,1,1.00,1,N,43,263,1,6,0.5,0.5,2.45,0,0.3,12.25,2.5
1,2021-03-01 00:14:55,2021-03-01 00:27:15,1,2.20,1,Y,141,143,1,11,3,0.5,3.25,0,0.3,18.05,2.5
1,2021-03-01 00:34:30,2021-03-01 00:38:26,1,1.00,1,N,246,68,2,5.5,3,0.5,0,0,0.3,9.3,2.5
1,2021-03-01 00:35:02,2021-03-01 00:40:13,1,1.30,1,N,238,239,1,6,3,0.5,1.5,0,0.3,11.3,2.5
